ORGANIZATION,PROGRAM,DESCRIPTION,YTD_AMOUNT,QTD_AMOUNT                                                                                                                                                                                                    
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,75731.64,16932.19
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,41954.24,9742.15
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,204787.34,80751.08
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,49680.13,19314
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,48002.32,38185.75
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,11265.97,465
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1654136.58,483919.07
2024 HON. ERIN HOUCHIN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1654136.58,483919.07
2024 HON. ERIN HOUCHIN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,10573.33,1825
2024 HON. ERIN HOUCHIN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,10573.33,1825
2024 HON. ERIN HOUCHIN,INTERN ALLOWANCES,OFFICE TOTALS:,10573.33,1825
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6756.39,2169.01
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1615556.66,487387.01
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,57179.85,9097.74
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,97955.21,25348.52
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,11728.1,297
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35665.57,9646.04
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,30957.29,5043.27
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,9053.21,4174.17
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1864852.28,543162.76
2024 HON. CHRISSY HOULAHAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1864852.28,543162.76
2024 HON. CHRISSY HOULAHAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,42900.67,8840
2024 HON. CHRISSY HOULAHAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,42900.67,8840
2024 HON. CHRISSY HOULAHAN,INTERN ALLOWANCES,OFFICE TOTALS:,42900.67,8840
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,49.91,-15.25
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1548820.31,407517.92
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,1246.39,360.41
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,139435.32,34092.96
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2849.9,621.2
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,53270.45,14282.58
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,33270.08,14049.26
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,13612.22,4131
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1792554.58,475040.08
2024 HON. STENY H. HOYER,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1792554.58,475040.08
2024 HON. STENY H. HOYER,INTERN ALLOWANCES,PERSONNEL COMPENSATION,24231.22,11200.16
2024 HON. STENY H. HOYER,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,24231.22,11200.16
2024 HON. STENY H. HOYER,INTERN ALLOWANCES,OFFICE TOTALS:,24231.22,11200.16
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,56904.61,23.33
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1369727.99,376620.97
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,65221.68,10390.23
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,54844.05,4921.65
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,112779.71,38
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,2275.1,76.5
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6731.56,731.82
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2191.34,2191.34
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1670676.04,394993.84
2024 HON. VAL T. HOYLE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1670676.04,394993.84
2024 HON. VAL T. HOYLE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,42072.67,10493.32
2024 HON. VAL T. HOYLE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,42072.67,10493.32
2024 HON. VAL T. HOYLE,INTERN ALLOWANCES,OFFICE TOTALS:,42072.67,10493.32
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,88163.28,228.09
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1385637.2,423831.39
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,70959.49,18509.31
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,37721.8,13380.65
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,109767,55285.14
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,27120,7025
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18194.19,11190.35
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1380,345
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1738942.96,529794.93
2024 HON. RICHARD HUDSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1738942.96,529794.93
2024 HON. RICHARD HUDSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,14433.35,0
2024 HON. RICHARD HUDSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,14433.35,0
2024 HON. RICHARD HUDSON,INTERN ALLOWANCES,OFFICE TOTALS:,14433.35,0
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,508.48,-63.49
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1546608.81,471430.39
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51321.54,8385.64
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,56948.75,12740.55
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1087.8,99
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,11.96,5.98
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,76988.73,66239.29
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8040.57,1955.65
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1741516.64,560793.01
2024 HON. JARED HUFFMAN,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1741516.64,560793.01
2024 HON. JARED HUFFMAN,INTERN ALLOWANCES,PERSONNEL COMPENSATION,45432.92,10950.45
2024 HON. JARED HUFFMAN,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,45432.92,10950.45
2024 HON. JARED HUFFMAN,INTERN ALLOWANCES,OFFICE TOTALS:,45432.92,10950.45
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1502.41,838.55
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1397871.27,421416.52
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,109567.8,19475.72
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,132485.86,53064.93
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,48640.76,1203.98
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,5459,1496
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17736.63,9803.23
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4773.57,4761.67
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1718037.3,512060.6
2024 HON. BILL HUIZENGA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1718037.3,512060.6
2024 HON. BILL HUIZENGA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46113.14,10631.4
2024 HON. BILL HUIZENGA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46113.14,10631.4
2024 HON. BILL HUIZENGA,INTERN ALLOWANCES,OFFICE TOTALS:,46113.14,10631.4
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,6356.79,6060.37
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1185176.45,357030.51
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,116019.4,25415.37
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,89266.1,27935.9
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,353463.87,339.52
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7919.32,4208.65
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,31722.86,12056.24
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,25976.43,1571.8
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1815901.22,434618.36
2024 HON. WESLEY HUNT,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1815901.22,434618.36
2024 HON. WESLEY HUNT,INTERN ALLOWANCES,PERSONNEL COMPENSATION,16451.58,3000
2024 HON. WESLEY HUNT,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,16451.58,3000
2024 HON. WESLEY HUNT,INTERN ALLOWANCES,OFFICE TOTALS:,16451.58,3000
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,50240.28,84.04
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1336766.58,362919.44
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,108056.93,23010.95
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,134552.24,46588.98
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,50443.1,44558.6
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33040.64,11218.6
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,26859.95,7352.6
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,20631.14,9844.01
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1760590.86,505577.22
2024 HON. DARRELL ISSA,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1760590.86,505577.22
2024 HON. DARRELL ISSA,INTERN ALLOWANCES,PERSONNEL COMPENSATION,38905.56,21900
2024 HON. DARRELL ISSA,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,38905.56,21900
2024 HON. DARRELL ISSA,INTERN ALLOWANCES,OFFICE TOTALS:,38905.56,21900
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,363.12,33.13
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1353320.53,396833.33
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,15270.77,2394.23
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50897.11,19248.01
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,265782.55,116653.3
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,885.61,0
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23149.67,13126.93
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,1991.33,444
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1711660.69,548732.93
2024 HON. GLENN IVEY,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1711660.69,548732.93
2024 HON. GLENN IVEY,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46794.32,1680
2024 HON. GLENN IVEY,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46794.32,1680
2024 HON. GLENN IVEY,INTERN ALLOWANCES,OFFICE TOTALS:,46794.32,1680
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,455.24,238.81
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,938566.16,130006.97
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,63069.71,4565.01
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,194633.58,46904.82
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,12097.76,170.81
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,80293.7,3743.33
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,74058.41,988.97
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,26496.52,548.76
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1389671.08,187167.48
2024 HON. SHEILA JACKSON LEE,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1389671.08,187167.48
2024 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,PERSONNEL COMPENSATION,18500,0
2024 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,18500,0
2024 HON. SHEILA JACKSON LEE,INTERN ALLOWANCES,OFFICE TOTALS:,18500,0
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,178710.55,70538.05
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1277867.84,367804.36
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28960.14,3569.94
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,50198.7,22106.03
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,183388.84,91673
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,7673.47,5558.37
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18633.39,2103.7
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3403,501
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1748835.93,563854.45
2024 HON. JEFF JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1748835.93,563854.45
2024 HON. JEFF JACKSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,44845.11,11532.03
2024 HON. JEFF JACKSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,44845.11,11532.03
2024 HON. JEFF JACKSON,INTERN ALLOWANCES,OFFICE TOTALS:,44845.11,11532.03
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1253.3,-48.53
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1317982.88,420672.59
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,107845.82,28026.57
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,64658.61,15852.83
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,14834.6,8001.2
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,50027,9899.25
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,91686.37,25841.82
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,24247.74,1650
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1672536.32,509895.73
2024 HON. JONATHAN L. JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1672536.32,509895.73
2024 HON. JONATHAN L. JACKSON,INTERN ALLOWANCES,PERSONNEL COMPENSATION,44805.74,14010.51
2024 HON. JONATHAN L. JACKSON,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,44805.74,14010.51
2024 HON. JONATHAN L. JACKSON,INTERN ALLOWANCES,OFFICE TOTALS:,44805.74,14010.51
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,62710.07,110.65
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1371502.25,396330.41
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,137811.5,26399.95
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,47852.27,12840.99
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,78207.23,34094.06
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,4285,1155
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,65435.51,46181.38
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10821.05,2687.05
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1778624.88,519799.49
2024 HON. RONNY JACKSON,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1778624.88,519799.49
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,42870,220.45
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1455914.64,376821
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,51760.59,5833.42
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,139161.81,36194.59
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,99844.08,43737.4
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,59820.79,12251.76
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,22780.74,5648.53
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5118.75,-295.16
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1877271.4,480411.99
2024 HON. SARA JACOBS,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1877271.4,480411.99
2024 HON. SARA JACOBS,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46718,0
2024 HON. SARA JACOBS,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46718,0
2024 HON. SARA JACOBS,INTERN ALLOWANCES,OFFICE TOTALS:,46718,0
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,76647.08,37758.84
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1205294.99,377795.99
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,71539.52,20769.66
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,249125.06,6303.58
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,114745.52,60067.82
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,67991.04,34057.9
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,19474.28,2694.07
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5595.45,144
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1810412.94,539591.86
2024 HON. JOHN JAMES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1810412.94,539591.86
2024 HON. JOHN JAMES,INTERN ALLOWANCES,PERSONNEL COMPENSATION,43350.56,10071.67
2024 HON. JOHN JAMES,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,43350.56,10071.67
2024 HON. JOHN JAMES,INTERN ALLOWANCES,OFFICE TOTALS:,43350.56,10071.67
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,17108.02,236.84
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,1539419.46,434465.94
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,70328.98,7837.98
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,94001.61,33077.64
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,33224.76,1063.38
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28423.35,6036.6
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,30659.34,15063.51
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,22226.88,12371.65
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1835392.4,510153.54
2024 HON. PRAMILA JAYAPAL,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1835392.4,510153.54
2024 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,PERSONNEL COMPENSATION,46798.33,20148.33
2024 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,INTERN ALLOWANCES TOTALS:,46798.33,20148.33
2024 HON. PRAMILA JAYAPAL,INTERN ALLOWANCES,OFFICE TOTALS:,46798.33,20148.33
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,72710.12,71590.25
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,907003.74,300215.08
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,49796.65,24126.75
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,351316.69,49415.45
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,79897.81,10881.37
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,68126.91,21665
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,54519.73,12322.68
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,34812.76,15328.95
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,1618184.41,505545.53
2024 HON. HAKEEM S. JEFFRIES,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,1618184.41,505545.53
